"sname","fname","labour","tory","lnrealgross","lnrealnet","treated","yob","yod","scat_pub","scat_eto","scat_sec","scat_nm","ucat_ox","ucat_deg","ucat_nm","aristo","female","oc_teacherall","oc_barrister","oc_solicitor","oc_dr","oc_civil_serv","oc_local_politics","oc_business","oc_white_collar","oc_union_org","oc_journalist","oc_miner","wobl_race_region","pre_wobl","wobl_race_electorate","wobl_race_turnout","wobl_race_effective_number_of_ca","wobl_margin","directorships_1983"
"Leach","Robin",0,1,14.8927154541016,14.8927154541016,0,1938,1992,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Greater London",-0.185350716114044,45487,0.751995086669922,2.35713958740234,-0.220049113035202,0
"Brum","Robert",0,1,11.1584320068359,11.1584320068359,0,1924,1985,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Greater London",-0.105291903018951,41401,0.672664940357208,2.32025933265686,-0.0396782644093037,0
"Shearer","William",0,1,12.3720865249634,12.3720865249634,0,1910,1997,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scotland",-0.502400815486908,24786,0.596949875354767,1.88683342933655,-0.485874563455582,0
"Keigwin","Timothy",0,1,12.4555473327637,12.4555473327637,0,1921,1987,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"South West England",-0.0302425101399422,50504,0.848645627498627,2.5237865447998,-0.00860942620784044,0
"Johnston","Robert",0,1,13.0316762924194,13.027946472168,0,1918,2003,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scotland",-0.0304563790559769,55759,0.810685276985168,2.26127457618713,-0.0580934882164001,0
"Beaumont","Christopher",1,0,12.5533380508423,10.8098249435425,0,1926,2005,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"South West England",-0.0606878809630871,62417,0.762148141860962,2.46411800384521,-0.165521010756493,0
"Griffith","Huw",0,1,12.3720865249634,12.3720865249634,0,1930,1997,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,"West Midlands",-0.00938460789620876,57892,0.81843775510788,2.01358318328857,-0.0623667724430561,0
"Bassett","Philip",1,0,12.597954750061,10.9701681137085,0,1931,2005,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"South East England",-0.187404081225395,65971,0.79351532459259,2.63985300064087,-0.112112931907177,0
"Gurden","Harold",0,1,13.3755302429199,13.3755302429199,1,1903,1989,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"West Midlands",NA,60356,0.742726504802704,1.95604395866394,0.149906307458878,0
"Moeran","Edward",1,0,12.3720865249634,12.3720865249634,1,1903,1997,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"East of England",NA,51039,0.868767023086548,2.52217698097229,0.0343699976801872,0
