"municipality","ever_treated","treatment","year","gdvote","trarrprop","logdist"
"22",FALSE,0,2013,7.32142850756645,0,5.95189189910889
"22",FALSE,0,2015,5.68807348608971,0,5.95189189910889
"22",FALSE,0,2016,7.82442763447762,0,5.95189189910889
"23",FALSE,0,2012,10.0393697619438,0,5.32685613632202
"23",FALSE,0,2013,9.90209132432938,0,5.32685613632202
"23",FALSE,0,2015,8.68444666266441,0,5.32685613632202
"23",FALSE,0,2016,9.56124812364578,0,5.32685613632202
"24",FALSE,0,2012,6.10072687268257,0,6.13731670379639
"24",FALSE,0,2013,5.52686862647533,0,6.13731670379639
"24",FALSE,0,2015,4.75218296051025,0,6.13731670379639
"24",FALSE,0,2016,6.74943029880524,0,6.13731670379639
"25",FALSE,0,2012,2.58444026112556,0,5.52297973632812
"25",FALSE,0,2013,3.33291478455067,0,5.52297973632812
"25",FALSE,0,2015,2.75794249027967,0,5.52297973632812
"25",FALSE,0,2016,3.72243337333202,0,5.52297973632812
"26",FALSE,0,2012,6.5051905810833,0,4.92245960235596
"26",FALSE,0,2013,5.39080463349819,0,4.92245960235596
"26",FALSE,0,2015,6.15628436207771,0,4.92245960235596
"26",FALSE,0,2016,5.95317743718624,0,4.92245960235596
"27",FALSE,0,2012,10.5169974267483,0,5.1402006149292
"27",FALSE,0,2013,6.85895159840584,0,5.1402006149292
"27",FALSE,0,2015,6.98313564062119,0,5.1402006149292
"27",FALSE,0,2016,7.89439305663109,0,5.1402006149292
"28",FALSE,0,2012,2.70108040422201,0,5.46484804153442
"28",FALSE,0,2013,2.33210232108831,0,5.46484804153442
"28",FALSE,0,2015,2.68312878906727,0,5.46484804153442
"28",FALSE,0,2016,3.86365465819836,0,5.46484804153442
"29",FALSE,0,2012,6.87732324004173,0,5.11577558517456
"29",FALSE,0,2013,4.63871546089649,0,5.11577558517456
"29",FALSE,0,2015,3.56768108904362,0,5.11577558517456
"29",FALSE,0,2016,5.18763810396194,0,5.11577558517456
"30",FALSE,0,2012,9.22131165862083,0,6.16571187973022
"30",FALSE,0,2013,6.4467765390873,0,6.16571187973022
"30",FALSE,0,2015,3.95136773586273,0,6.16571187973022
"30",FALSE,0,2016,5.10018207132816,0,6.16571187973022
"31",FALSE,0,2012,2.39076670259237,0,4.03282356262207
"31",FALSE,0,2013,2.92474534362555,0,4.03282356262207
"31",FALSE,0,2015,2.65798270702362,0,4.03282356262207
